ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Homonym,IndoAryan_Proto_Form,Inflection_Class,Main_Entry,Media_IDs,Morphemic_Form,Origin,Phonetic,Restrictions,Usage,Variant_Form,Vernacular
LX001459,phl,méeši,n.fem,,,mātuḥṣvasr̥- 'mother's sister (fem)' (T: 10001),"m-decl (Pl): -m, (Voc)",,,,,méeɕi,,,,میشیۡ
LX001460,phl,meeṭhíl,n.fem,,,,i-decl (Obl): -í,,,,,meeʈʰíl,,,,میٹِھل
LX001461,phl,méeṭi,n.fem,,,"mŕ̥ttikā- 'earth, clay' (T: 10286)",,,,,,méeʈi,,,,میٹیۡ
LX001462,phl,meeṭíilu,adj,,,,Reg (Fem): meeṭíili,,,meeṭíil-,,meeʈíilo,,,,میٹِیلوۡ
LX001463,phl,meewá,n.masc,,,,ee-decl (Pl): meeweé,,,,Pashto/Urdu (Persian): mewa,meewá,,,,میوہ
LX001464,phl,meéx,n.masc,,,,"a-decl (Obl, Pl): -á",,,,Pashto (Persian): mex,meéx,,,,میخ
LX001465,phl,meéz,n.fem,,,,"i-decl (Obl, pl): -í",,,,Urdu (Persian): mez,meéz,,,,میز
LX001466,phl,mehfíl,n.fem,,,,"i-decl (Obl, pl): -í",,,,Urdu (Arabic): mahfil,mehfíl,,,,محفِل
LX001467,phl,mehmaán,n.masc,LX001835,,,"aan-decl (Obl): -á, (Pl): -aán",,,,Urdu (Persian): mehmaan,mehmaán,,,,مہمان
LX001468,phl,mehnát,n.fem,,,,"i-decl (Obl, pl): -í",,,,Urdu (Persian/Arabic): mehnat,mehnát,,,,محنت
LX001469,phl,mehnát thíi,v.tr:cjt.ninc,LX001468,,,,,,,,mehnát tʰíi,Fem agr with non-verb element in pfv,,,محنت تھی
LX001470,phl,mháala ghašíi,v.tr:cjt.ninc,LX002522,,,,,,,,mháala ɡhaɕíi,Masc agr with non-verb element in pfv; postpositional object with sanɡí,,,مھالہ گھشی
LX001471,phl,mháalu,n.masc,LX001476,,"mahallaka- 'old, feeble' (T: 9935)","a-decl (Obl, pl): mháala",,,,,mháalu,,,,مھالوۡ
LX001472,phl,mhaaríi,v.tr,,,māráyati 'kills' (T: 10066),"L:e (Prs): mhaaráanu, (Pfv): mheerílu, (Cv): mheerí, (Imp): mhaará",,,mhaar-é-,,mhaaríi,,,,مھاری
LX001473,phl,mhaaróoc̣u,n.masc,,,*madhuravr̥kṣa- 'a tree with sweet fruit' (T: 9796),"a-decl (Obl, pl): mhaaróoc̣a",,,,,mhaaróoʈʂo,,,,مھاروڇوۡ
LX001474,phl,mhaás,n.masc,,,mām̆sá- 'flesh (neut)' (T: 9982),"a-decl (Obl, pl): -á",,,,,mhaás,,,,مھاس
LX001475,phl,mheél,n.fem,,,"mathitá- 'stirred, churned; buttermilk churned without water (n)' (T: 9767)",i-decl (Obl): -í,,,,,mheél,,,,مھیل
LX001476,phl,mhéeli,n.fem,LX001471,,,m-decl (Pl): -m,,,,,mhéeli,,,,مھیلیۡ
LX001477,phl,mheerabaán,n.fem,,,,"i-decl (Obl, pl): mheerabeení",,,,"Urdu (Persian): mihrbaan, mehrbaan","mheerabaán, meerabaán",,"Primarily used in its plural form, often in polite exchanges of greetings.",,مہربان
LX001478,phl,mheerabeení the,MWE,LX001477,,,,,,,,mheerabeení tʰe,,,,مہربینیۡ تھےۡ
LX001479,phl,mhoóru,adj,,,madhurá- 'sweet' (T: 9793),Reg (Fem): mhoóri,,,,,mhoóro,,,,مھوروۡ
LX001480,phl,míi,pron:pers,ma,1,,,,,,,míi,,,,می
LX001481,phl,míi,n.fem,,3,"mḗdas- 'fat, marrow (n)' (T: 10323)",a-decl (Obl): -a,,,,,míi,,,,می
LX001482,phl,míi,pron:pers,ma,2,,,,,,,míi,,,,می
LX001483,phl,miíl,n.masc,,,,a-decl (Pl): -á,,,,Urdu (English 'mile'),miíl,,,miíl,مِیل
LX001484,phl,míiš,n.masc,,,"manuṣyà- 'human; human being, man (masc)' (T: 9828)","a-decl (Obl, pl): -a",,,,,míiɕ,,,méeš (Biori),مِیش
LX001485,phl,míla,v.intr,,,"miláti 'meets, encounters' (T: 10133)","L:cons (Prs): miláanu, (Pfv): milílu, (Cv): milí, (Imp): milá",,,mil-,,míla,,,,مِلہ
LX001486,phl,milaáu,adj.inv,,,,,,,,Urdu: milaaˈo,milaáw,,Primarily used as a non-verb element in complex predicates,,مِلاوۡ
LX001487,phl,milaáu bhíi,v.intr:cjt.inc,LX001486,,,,,,,,milaáw bhíi,Postpositional object with sanɡí or the,,,مِلاوۡ بھی
LX001488,phl,milóo,v.tr,LX001485,,,"L:a (Prs): milaáanu, (Pfv): milóolu, (Cv): milaá, (Imp): milá",,,mil-á-,,milóo,,,,مِلو
LX001489,phl,mingál,n.masc:pn,,,,a-decl (Obl): -á,,,,,miŋɡál,,,,مِنگل
LX001490,phl,miṇḍ,n.masc,,,mēṇḍha- 'ram (masc)' (T: 10310),"a-decl (Obl, pl): -a",,,,,miɳɖ,,,miḍ (Biori),مِنڈ
LX001491,phl,mirmaadikoór,n.masc,,,,"ee-decl (Pl): -eé, (Pl obl): -úm",,,,,mirmaadikoór,,,milmaadikoór ; milmaalikoór,مِرمادِکور
LX001492,phl,misaál,n.fem,,,,"i-decl (Obl, pl): miseelí",,,,Urdu (Arabic): misaal,musaál,,,musaál,مثال
LX001493,phl,misrí,n.masc,,,,aan-decl (Pl): -aán,,,,"Urdu (English?): mistrii, mistarii",misrí,,,,مسریۡ
mitr,phl,mitr,n.masc,,,,"a-decl (Obl, pl): -a",,,,,mitr,,,,مِتر
LX001494,phl,míṭing,n.fem,,,,"a-decl (Obl, pl): -a",,,,Urdu (English 'meeting'),"míʈiŋɡ, míʈiŋ",,,,مِٹِنگ
LX001495,phl,móṇḍu,adj,,,"muṇḍa- 'shaved, bald, lopped; hornless; blunt' (T: 10191)",Reg (Fem agr): móṇḍi,,,moṇḍ-,,móɳɖo,,,,موۡنڈوۡ
LX001496,phl,moolí,n.fem,,,,a-decl (Pl): -á,,,,,moolí,,,,مولیۡ
LX001497,phl,móomu,n.masc,,,*māmikā- 'mother' (T: 10058),"a-decl (Obl, pl): móoma",,,,,móomo,,,,موموۡ
LX001498,phl,móonu,n.masc,,,*māna- 'skin-bag' (T: 10044),"a-decl (Obl, pl): móona",,,,,móono,,,,مونوۡ
LX001499,phl,móoṇ,n.fem,,,"mā́na- 'house, dwelling (m)' (T: 10042)","a-decl (Obl, pl): -a",,,máaṇ,,móoɳ,,,,موݨ
LX001500,phl,móoṇuṣ,n.masc,,,mā́nuṣa- 'human (fem) ; man (masc)' (T: 10049),"a-decl (Obl, pl): -a",,,,,móoɳuʂ,,,máaṣ (Biori),موݨُݜ
LX001501,phl,mooqá,n.masc,,,,ee-decl (Pl): mooqeé,,,,"Urdu (Arabic): mauqa, maukaa",mooqá,,,,موقع
LX001502,phl,moosím,n.fem,,,,"i-decl (Obl, pl): -í",,,,"Urdu (Arabic): mausim, mausam",moosím,,,moosúm (Biori),موسِم
LX001503,phl,móošpu,n.masc,,,,"a-decl (Obl, pl): móošpa",,,,,móoɕpo,,,,موشپوۡ
LX001504,phl,moóṣṭ,n.masc,,,,"a-decl (Obl, Pl): -á",,,,,moóʂʈ,,,,موݜٹ
LX001505,phl,mooṭár,n.masc,,,,"i-decl (Obl, pl): -í",,,,,mooʈár,,,mooṭér (Biori),موٹر
mring,phl,mring,n.masc,,,"mr̥gá- 'wild animal, deer' (T: 10264)",a-decl (Obl): -a,,,,,"mriŋɡ, mriŋ",With plural reference,,,مرِنگ
